dataset,is_primary,comparison_type,left_method,right_method,left_budget,right_budget,prompts,mean_tokens_per_second_diff,tokens_per_second_diff_ci_low,tokens_per_second_diff_ci_high,mean_relative_pct_diff,mean_baseline_normalized_speedup_diff,baseline_normalized_speedup_diff_ci_low,baseline_normalized_speedup_diff_ci_high,improve_prompts,tie_prompts,hurt_prompts
MT-Controlled,False,within_family_vs_sequential,Raw-DFlash,Sequential-Baseline,,,4,68.02259401638466,30.381334828941114,123.52128192419426,130.3200486430433,nan,nan,nan,4,0,0
MT-Controlled,False,within_family_vs_sequential,DFlash-Original-DDTree-B16,Sequential-Baseline,16,,4,84.32416267376885,48.6191986162271,129.56930662978957,161.43627943044297,nan,nan,nan,4,0,0
MT-Controlled,False,within_family_vs_sequential,DFlash-Original-DDTree-B32,Sequential-Baseline,32,,4,87.89058850479992,51.61365183249182,132.73117905876967,168.21674208996015,nan,nan,nan,4,0,0
MT-Controlled,False,within_family_vs_sequential,DFlash-Original-DDTree-B64,Sequential-Baseline,64,,4,107.36295864710713,59.96150761915469,170.9011432945789,205.55295322037787,nan,nan,nan,4,0,0
MT-Controlled,False,controlled,DFlash-Original-DDTree-B16,Raw-DFlash,16,,4,16.3015686573842,6.048024705595303,24.6188174792713,17.177637097629876,nan,nan,nan,4,0,0
MT-Controlled,False,controlled,DFlash-Original-DDTree-B32,Raw-DFlash,32,,4,19.86799448841526,8.591421037657177,29.161769327119657,20.98209570290874,nan,nan,nan,4,0,0
MT-Controlled,False,controlled,DFlash-Original-DDTree-B64,Raw-DFlash,64,,4,39.340364630722476,29.58017279021358,47.673068477982625,34.52538841291687,nan,nan,nan,4,0,0
MT-Controlled,False,within_family_vs_sequential,Raw-DFlash2,Sequential-Baseline,,,4,42.83630120183099,25.291913071840035,67.04522675078097,81.36778998225368,nan,nan,nan,4,0,0
MT-Controlled,False,within_family_vs_sequential,DFlash2-Original-DDTree-B7,Sequential-Baseline,7,,4,49.26472802461186,30.082608312644552,77.83945493189248,93.59776986820515,nan,nan,nan,4,0,0
MT-Controlled,False,within_family_vs_sequential,DFlash2-Original-DDTree-B16,Sequential-Baseline,16,,4,60.369295372621714,38.74937076397756,91.89577958634004,114.69503742661414,nan,nan,nan,4,0,0
MT-Controlled,False,within_family_vs_sequential,DFlash2-Original-DDTree-B32,Sequential-Baseline,32,,4,66.17478396176564,44.34207569387156,92.63384041772849,125.75938944832514,nan,nan,nan,4,0,0
MT-Controlled,False,within_family_vs_sequential,DFlash2-Original-DDTree-B64,Sequential-Baseline,64,,4,69.35641915823363,40.349504350513094,104.20834781901357,131.78996540031264,nan,nan,nan,4,0,0
MT-Controlled,False,within_family_vs_sequential,DFlash2-Pairwise-K16-B7,Sequential-Baseline,7,,4,51.10784981916585,35.95065521542301,71.53066214057921,97.11877347597793,nan,nan,nan,4,0,0
MT-Controlled,False,within_family_vs_sequential,DFlash2-Pairwise-K16-B16,Sequential-Baseline,16,,4,61.55319154958329,35.91675033032832,89.16538873090373,116.97520361058352,nan,nan,nan,4,0,0
MT-Controlled,False,within_family_vs_sequential,DFlash2-Pairwise-K16-B32,Sequential-Baseline,32,,4,69.6690923521398,41.85650058564206,102.84220089571443,132.40295594795452,nan,nan,nan,4,0,0
MT-Controlled,False,within_family_vs_sequential,DFlash2-Pairwise-K16-B64,Sequential-Baseline,64,,4,78.9783727959646,56.768068173000614,108.2837367026132,150.0879667035386,nan,nan,nan,4,0,0
MT-Controlled,False,within_family_vs_sequential,DFlash2-Unary-K16-B32,Sequential-Baseline,32,,4,66.14272096124695,44.81377695658779,92.78461584678148,125.69225370903199,nan,nan,nan,4,0,0
MT-Controlled,False,within_family_vs_sequential,DFlash2-Unary-K16-B64,Sequential-Baseline,64,,4,75.7224656206451,48.12145749938445,110.87157117873753,143.89127877850166,nan,nan,nan,4,0,0
MT-Native,True,controlled,DFlash2-Pairwise-K16-B16,DFlash2-Original-DDTree-B16,16,16,4,1.5151404055859246,-6.805498798739826,9.835779609911675,2.071736871544119,nan,nan,nan,2,0,2
MT-Native,False,controlled,DFlash2-Pairwise-K16-B7,DFlash2-Original-DDTree-B7,7,7,4,2.6647970802948855,-4.734645861887778,8.37077993385633,4.078583260424882,nan,nan,nan,3,0,1
MT-Native,False,controlled,DFlash2-Pairwise-K16-B32,DFlash2-Original-DDTree-B32,32,32,4,3.7561455287066856,-0.8037729027890492,8.31606396020242,2.5936865591487215,nan,nan,nan,3,0,1
MT-Native,False,controlled,DFlash2-Pairwise-K16-B64,DFlash2-Original-DDTree-B64,64,64,4,9.784903317883053,3.514489759971461,16.055316875794645,9.643505102418308,nan,nan,nan,4,0,0
MT-Native,False,controlled,DFlash2-Pairwise-K16-B7,Raw-DFlash2,7,,4,7.905244204504772,3.279815681318862,11.610594024494546,9.632763696578632,nan,nan,nan,4,0,0
MT-Native,False,controlled,DFlash2-Pairwise-K16-B32,DFlash2-Unary-K16-B32,32,32,4,3.0185561709379805,-1.8814318196858153,9.48313208875729,1.7508590546650202,nan,nan,nan,2,0,2
