dataset,family,method,method_key,budget,prompts,mean_end_to_end_tokens_per_second,mean_decode_only_tokens_per_second,speedup_vs_baseline_end_to_end,speedup_vs_baseline_decode_only,mean_matched_tokens_per_round,mean_committed_tokens_per_round,mean_target_calls,mean_ttft_ms,mean_total_generation_time_s,peak_allocated_gib,peak_reserved_gib,timing_source_runner_fraction
MATH500,dflash2,DFlash2-Pairwise-K16-B64,dflash2_pairwise_k16_tb64,64,4,205.4162680732726,225.03130536769746,3.885832837375419,4.190055935555091,5.7601010101010095,6.681818181818182,9.5,19.010771749975675,0.3130477597500203,10.318753719329834,10.361328125,1.0
MATH500,dflash2,DFlash2-Unary-K16-B32,dflash2_unary_k16_tb32,32,4,179.32056944331967,195.48047359579041,3.394096714784923,3.641939370752549,4.811538461538461,5.7480769230769235,11.25,20.234983999984024,0.36523816249996344,10.294591903686523,10.361328125,1.0
MATH500,dflash2,DFlash2-Unary-K16-B64,dflash2_unary_k16_tb64,64,4,185.13488516262623,201.0648883286541,3.503863961770981,3.7458042772012345,5.044444444444444,5.95,10.75,18.994079749944603,0.3498246407499721,10.318597316741943,10.361328125,1.0
MT-Controlled,original,Sequential-Baseline,baseline,,4,52.37893862055184,53.41529500084958,nan,nan,0.0,1.0,115.25,20.685488625019843,2.203805643250007,8.632442474365234,8.771484375,1.0
MT-Controlled,original,Raw-DFlash,dflash,,4,120.4015326369365,130.34576825152166,2.3032004864304327,2.4411347346301575,2.6617968594712775,3.661796859471278,42.0,20.999358624976594,1.1539070702499998,8.679919242858887,8.771484375,1.0
MT-Controlled,original,DFlash-Original-DDTree-B16,ddtree_tb16,16,4,136.7031012943207,152.4781955688036,2.6143627943044296,2.8559157473146715,3.28921568627451,4.28921568627451,34.25,21.168128625035365,0.9597297919999903,8.687368392944336,8.771484375,1.0
MT-Controlled,original,DFlash-Original-DDTree-B32,ddtree_tb32,32,4,140.26952712535177,157.50162277228745,2.6821674208996016,2.9498842368274487,3.5162414965986395,4.5162414965986395,32.25,27.050805624995178,0.9251467075000619,8.690086841583252,8.771484375,1.0
MT-Controlled,original,DFlash-Original-DDTree-B64,ddtree_tb64,64,4,159.74189726765897,176.33377726507527,3.0555295322037788,3.3027410800478605,3.8031080517313307,4.80310805173133,30.25,19.086809000000926,0.8487467062499832,8.709210872650146,8.771484375,1.0
MT-Controlled,dflash2,Sequential-Baseline,baseline,,4,52.57528799107983,53.59870396961436,nan,nan,0.0,1.0,115.25,20.17966975000718,2.1977582067499952,10.262444496154785,10.392578125,1.0
MT-Controlled,dflash2,Raw-DFlash2,dflash2,,4,95.41158919291082,102.91601078521695,1.8136778998225367,1.9168111069871236,1.9046171358765063,2.8667749458604033,44.0,22.79627262501549,1.3139511012499838,10.302688121795654,10.392578125,1.0
MT-Controlled,dflash2,DFlash2-Original-DDTree-B7,dflash2_original_ddtree_tb7,7,4,101.8400160156917,108.39890206389626,1.9359776986820516,2.019065282078221,2.153206746566178,3.1126783810697822,40.0,19.07724649997533,1.2352221429999588,10.306503295898438,10.392578125,1.0
MT-Controlled,dflash2,DFlash2-Original-DDTree-B16,dflash2_original_ddtree_tb16,16,4,112.94458336370155,121.200589617752,2.1469503742661415,2.257331756572137,2.531062030075188,3.5018640350877193,35.75,19.10532924999586,1.119216027750042,10.308666229248047,10.392578125,1.0
MT-Controlled,dflash2,DFlash2-Original-DDTree-B32,dflash2_original_ddtree_tb32,32,4,118.75007195284549,127.4635939692702,2.2575938944832514,2.37478981716418,2.8064542483660135,3.7681372549019607,32.5,19.015981999984888,1.043575521249977,10.318227767944336,10.392578125,1.0
MT-Controlled,dflash2,DFlash2-Original-DDTree-B64,dflash2_original_ddtree_tb64,64,4,121.93170714931347,131.5979631557953,2.317899654003126,2.4509826768209235,3.1395687645687644,4.116368006993007,30.5,19.10628237499168,1.045946879499951,10.337353706359863,10.392578125,1.0
MT-Controlled,dflash2,DFlash2-Pairwise-K16-B7,dflash2_pairwise_k16_tb7,7,4,103.68313781024568,110.10414432772586,1.9711877347597793,2.0516581304205426,2.2305980725623584,3.1859126984126984,38.0,19.086339875016733,1.1804678829999773,10.306503295898438,10.392578125,1.0
MT-Controlled,dflash2,DFlash2-Pairwise-K16-B16,dflash2_pairwise_k16_tb16,16,4,114.12847954066312,124.30767894607672,2.169752036105835,2.3155514147344682,2.6576996113760822,3.6106650768415474,34.75,22.526824375006527,1.1006045462500254,10.308666229248047,10.392578125,1.0
