dataset,budget,trajectory_method,support_k,depth,observed_rounds,target_token_inclusion,prefix_representability
GSM8K,16,Unary-K64,64,3,6951,0.9807221982448568,0.9761185440943749
GSM8K,16,Unary-K64,64,4,6936,0.9574682814302191,0.9404555940023068
GSM8K,16,Unary-K64,64,5,6918,0.9478172882335936,0.9074877132119109
GSM8K,16,Unary-K64,64,6,6900,0.937536231884058,0.8724637681159421
GSM8K,16,Unary-K64,64,7,6869,0.9215315184160722,0.8346193041199592
GSM8K,32,Unary-K64,16,1,6738,0.9973285841495992,0.9973285841495992
GSM8K,32,Unary-K64,16,2,6725,0.9772490706319703,0.9754646840148699
GSM8K,32,Unary-K64,16,3,6702,0.9479259922411221,0.9379289764249478
GSM8K,32,Unary-K64,16,4,6688,0.9084928229665071,0.8791866028708134
GSM8K,32,Unary-K64,16,5,6675,0.8828464419475656,0.8209737827715355
GSM8K,32,Unary-K64,16,6,6656,0.8565204326923077,0.7627704326923077
GSM8K,32,Unary-K64,16,7,6627,0.8198279764599367,0.695940848045873
GSM8K,32,Unary-K64,32,1,6738,0.9986642920747997,0.9986642920747997
GSM8K,32,Unary-K64,32,2,6725,0.9881040892193309,0.9872118959107806
GSM8K,32,Unary-K64,32,3,6702,0.9683676514473292,0.9622500746045957
GSM8K,32,Unary-K64,32,4,6688,0.9388456937799043,0.9156698564593302
GSM8K,32,Unary-K64,32,5,6675,0.9211985018726592,0.8726591760299626
GSM8K,32,Unary-K64,32,6,6656,0.9045973557692307,0.8270733173076923
GSM8K,32,Unary-K64,32,7,6627,0.8826014787988532,0.7753131130224837
GSM8K,32,Unary-K64,64,1,6738,0.9994063520332442,0.9994063520332442
GSM8K,32,Unary-K64,64,2,6725,0.9943494423791821,0.9940520446096655
GSM8K,32,Unary-K64,64,3,6702,0.9814980602805132,0.9783646672635035
GSM8K,32,Unary-K64,64,4,6688,0.958433014354067,0.9425837320574163
GSM8K,32,Unary-K64,64,5,6675,0.9469662921348314,0.9102621722846442
GSM8K,32,Unary-K64,64,6,6656,0.9353966346153846,0.8745492788461539
GSM8K,32,Unary-K64,64,7,6627,0.923947487550928,0.8376339218349178
GSM8K,64,Unary-K64,16,1,6334,0.9979475844647931,0.9979475844647931
GSM8K,64,Unary-K64,16,2,6320,0.9794303797468354,0.9778481012658228
GSM8K,64,Unary-K64,16,3,6307,0.9514824797843666,0.9424449024892976
GSM8K,64,Unary-K64,16,4,6288,0.912531806615776,0.8847010178117048
GSM8K,64,Unary-K64,16,5,6275,0.8882868525896415,0.830597609561753
GSM8K,64,Unary-K64,16,6,6252,0.8592450415866922,0.7669545745361485
GSM8K,64,Unary-K64,16,7,6225,0.8274698795180723,0.7029718875502008
GSM8K,64,Unary-K64,32,1,6334,0.9988948531733501,0.9988948531733501
GSM8K,64,Unary-K64,32,2,6320,0.9887658227848102,0.9878164556962026
GSM8K,64,Unary-K64,32,3,6307,0.970667512287934,0.9638496908197242
GSM8K,64,Unary-K64,32,4,6288,0.9392493638676844,0.9173027989821882
GSM8K,64,Unary-K64,32,5,6275,0.9209561752988048,0.8758565737051793
GSM8K,64,Unary-K64,32,6,6252,0.9056301983365324,0.8283749200255918
GSM8K,64,Unary-K64,32,7,6225,0.8828915662650603,0.777991967871486
