dataset,family,method,method_key,budget,prompts,mean_end_to_end_tokens_per_second,mean_decode_only_tokens_per_second,speedup_vs_baseline_end_to_end,speedup_vs_baseline_decode_only,mean_matched_tokens_per_round,mean_committed_tokens_per_round,mean_target_calls,mean_ttft_ms,mean_total_generation_time_s,peak_allocated_gib,peak_reserved_gib,timing_source_runner_fraction
HumanEval,dflash2,DFlash2-Original-DDTree-B7,dflash2_original_ddtree_tb7,7,164,133.8315957447378,136.0013296803873,2.7251149142920434,2.758272172481324,3.3466755861579105,4.333431549225353,59.47560975609756,20.79875580897706,1.9364290966949833,10.374751091003418,10.5546875,1.0
HumanEval,dflash2,DFlash2-Original-DDTree-B16,dflash2_original_ddtree_tb16,16,164,145.77234819258345,148.33394345248746,2.968425892097193,3.0085797783327197,3.8189439022215046,4.803511257395827,53.48780487804878,20.760993900405925,1.7698851247235625,10.377872943878174,10.5546875,1.0
HumanEval,dflash2,DFlash2-Original-DDTree-B32,dflash2_original_ddtree_tb32,32,164,150.81796758227694,153.54889870985724,3.0710186849792978,3.114188299549025,4.12578661869247,5.109430185878832,50.23780487804878,20.757954558967768,1.7098825332112815,10.385277271270752,10.5546875,1.0
HumanEval,dflash2,DFlash2-Original-DDTree-B64,dflash2_original_ddtree_tb64,64,164,147.76277698406173,150.38736476099066,3.0078214472532623,3.049057276892063,4.357400357435387,5.340124921470702,47.93292682926829,20.69672327425218,1.7467841618636823,10.404425621032715,10.5546875,1.0
HumanEval,dflash2,DFlash2-Pairwise-K16-B7,dflash2_pairwise_k16_tb7,7,164,139.44754662958835,141.78384842380893,2.839317074164009,2.8753994688611084,3.5418893710734958,4.528003139491412,56.90853658536585,20.694242197195553,1.8579044515528904,10.374750137329102,10.5546875,1.0
HumanEval,dflash2,DFlash2-Pairwise-K16-B16,dflash2_pairwise_k16_tb16,16,164,156.4367991628899,159.39007459685033,3.185455146582346,3.232679463334312,4.196923623533488,5.180441428688687,49.676829268292686,20.81757972151477,1.6522160871810727,10.377872943878174,10.5546875,1.0
HumanEval,dflash2,DFlash2-Pairwise-K16-B32,dflash2_pairwise_k16_tb32,32,164,165.11064408226503,168.41019003226026,3.3620848520546747,3.415613148356721,4.577175331250085,5.560024642719433,46.0609756097561,20.88701806286092,1.5580213791748443,10.385274887084961,10.5546875,1.0
HumanEval,dflash2,DFlash2-Pairwise-K16-B64,dflash2_pairwise_k16_tb64,64,164,171.0720251541075,174.5850576325906,3.4829304722434813,3.5402906889646526,4.86133624640758,5.842729896946062,43.80487804878049,20.780815591586258,1.5039253487031925,10.404421329498291,10.5546875,1.0
HumanEval,dflash2,DFlash2-Unary-K16-B32,dflash2_unary_k16_tb32,32,164,152.17516583547211,154.96172232380604,3.0986364685064,3.142824618738488,4.1198479279759574,5.103789246520614,50.3109756097561,20.743832284437286,1.694911010877837,10.385274887084961,10.5546875,1.0
HumanEval,dflash2,DFlash2-Unary-K16-B64,dflash2_unary_k16_tb64,64,164,157.18139035521932,160.1553335591702,3.1998851108610005,3.2474432219877634,4.3597857087011125,5.342849500431661,47.896341463414636,20.75098583731514,1.6372814413516459,10.404421329498291,10.5546875,1.0
MATH500,original,Sequential-Baseline,baseline,,128,53.371047613957806,53.59351653470074,nan,nan,0.0,1.0,250.2578125,19.293427929634767,4.69248267598177,8.690332412719727,8.927734375,1.0
MATH500,original,Raw-DFlash,dflash,,128,268.2753897165477,275.98114983784455,5.021792531533913,5.144463676651231,6.341426359068686,7.341426359068686,37.3515625,19.36775123428447,1.002344369635447,8.735689163208008,8.927734375,1.0
MATH500,original,DFlash-Original-DDTree-B16,ddtree_tb16,16,128,285.38575383267687,293.9989176856865,5.343477876595292,5.481826385469358,6.981397977848847,7.981397977848847,33.6015625,19.536053406246385,0.9226283293724103,8.741441249847412,8.927734375,1.0
MATH500,original,DFlash-Original-DDTree-B32,ddtree_tb32,32,128,307.4784426485494,317.62197715675404,5.757524962884598,5.922696636082967,7.6617202739220245,8.661720273922025,30.828125,19.839859994846165,0.8515142669401523,8.74416971206665,8.927734375,1.0
MATH500,original,DFlash-Original-DDTree-B64,ddtree_tb64,64,128,326.5570282405104,337.7196566669584,6.1147092838342285,6.2973912029012045,8.176870288822665,9.176870288822665,29.1640625,19.35615578902154,0.8021870441198757,8.768796920776367,8.927734375,1.0
MATH500,dflash2,Sequential-Baseline,baseline,,128,50.983259840435096,51.191184581433035,nan,nan,0.0,1.0,250.2578125,19.760686544297336,4.915792390916811,10.324315071105957,10.546875,1.0
MATH500,dflash2,Raw-DFlash2,dflash2,,128,162.244530919264,165.32848549056246,3.1811468475187494,3.228396102750459,3.8693361692667185,4.854318220612775,52.6953125,20.071693666655698,1.5851466983412197,10.356746196746826,10.546875,1.0
MATH500,dflash2,DFlash2-Original-DDTree-B7,dflash2_original_ddtree_tb7,7,128,156.1186203479711,159.02345337018585,3.061191807850731,3.1054431990158524,3.878812009269832,4.861900217851288,52.296875,19.967430830798587,1.6390128467577985,10.358227252960205,10.546875,1.0
MATH500,dflash2,DFlash2-Original-DDTree-B16,dflash2_original_ddtree_tb16,16,128,168.58247188825175,171.9617080267443,3.3056652614947177,3.3582042918161323,4.374733989467854,5.357335735014719,47.3203125,20.04542451293408,1.5111330175728834,10.36133623123169,10.546875,1.0
MATH500,dflash2,DFlash2-Original-DDTree-B32,dflash2_original_ddtree_tb32,32,128,172.6287324713394,176.16646881783862,3.3855713738473625,3.4408730380665222,4.6230258119960475,5.6041098423477,45.140625,20.054631382748767,1.4722353984061365,10.36946964263916,10.546875,1.0
MATH500,dflash2,DFlash2-Original-DDTree-B64,dflash2_original_ddtree_tb64,64,128,167.90250737847262,171.23066194795624,3.2926746964573264,3.344253048460933,4.820387549651233,5.800737121634615,43.5078125,19.820006656364818,1.5146344191926981,10.401135921478271,10.546875,1.0
MATH500,dflash2,DFlash2-Pairwise-K16-B7,dflash2_pairwise_k16_tb7,7,128,164.99755428547326,168.24346916094197,3.235389147916852,3.285596693919614,4.154623945375309,5.138693101415656,49.40625,19.93630928387328,1.547627981276046,10.358226299285889,10.546875,1.0
MATH500,dflash2,DFlash2-Pairwise-K16-B16,dflash2_pairwise_k16_tb16,16,128,184.2146800023586,188.25745605088878,3.6120971766584056,3.6763116308846024,4.904433263381519,5.883317840481151,42.96875,20.066360455643917,1.3797637858620202,10.36133623123169,10.546875,1.0
MATH500,dflash2,DFlash2-Pairwise-K16-B32,dflash2_pairwise_k16_tb32,32,128,191.92875259137048,196.319258995077,3.7636636425443886,3.834059893288697,5.234441445477337,6.2119871427807904,40.734375,20.139178299340678,1.3248501120496123,10.36946725845337,10.546875,1.0
