dataset,is_primary,comparison_type,left_method,right_method,left_budget,right_budget,prompts,mean_tokens_per_second_diff,tokens_per_second_diff_ci_low,tokens_per_second_diff_ci_high,mean_relative_pct_diff,mean_baseline_normalized_speedup_diff,baseline_normalized_speedup_diff_ci_low,baseline_normalized_speedup_diff_ci_high,improve_prompts,tie_prompts,hurt_prompts
HumanEval,False,controlled,DFlash-Original-DDTree-B64,Raw-DFlash,64,,164,62.079945053147284,57.76875255517555,66.16921053715761,28.054580242163354,nan,nan,nan,160,0,4
HumanEval,False,within_family_vs_sequential,Raw-DFlash2,Sequential-Baseline,,,164,86.32045623089664,83.2277741822635,89.48227826710266,175.73813679320548,nan,nan,nan,164,0,0
HumanEval,False,within_family_vs_sequential,DFlash2-Original-DDTree-B7,Sequential-Baseline,7,,164,84.7165108387616,81.80442310657882,87.72775701635119,172.5114914292043,nan,nan,nan,164,0,0
HumanEval,False,within_family_vs_sequential,DFlash2-Original-DDTree-B16,Sequential-Baseline,16,,164,96.6572632866072,93.86415722847975,99.55517736949845,196.8425892097193,nan,nan,nan,164,0,0
HumanEval,False,within_family_vs_sequential,DFlash2-Original-DDTree-B32,Sequential-Baseline,32,,164,101.70288267630073,98.92067313222583,104.40985664238185,207.10186849792976,nan,nan,nan,164,0,0
HumanEval,False,within_family_vs_sequential,DFlash2-Original-DDTree-B64,Sequential-Baseline,64,,164,98.64769207808551,95.9213503967295,101.43675915917655,200.78214472532622,nan,nan,nan,164,0,0
HumanEval,False,within_family_vs_sequential,DFlash2-Pairwise-K16-B7,Sequential-Baseline,7,,164,90.33246172361211,87.44018430186021,93.2936778342281,183.9317074164009,nan,nan,nan,164,0,0
HumanEval,False,within_family_vs_sequential,DFlash2-Pairwise-K16-B16,Sequential-Baseline,16,,164,107.32171425691372,104.33953605771812,110.36444563582236,218.54551465823462,nan,nan,nan,164,0,0
HumanEval,False,within_family_vs_sequential,DFlash2-Pairwise-K16-B32,Sequential-Baseline,32,,164,115.99555917628881,113.16994226313363,118.8182725349345,236.20848520546755,nan,nan,nan,164,0,0
HumanEval,False,within_family_vs_sequential,DFlash2-Pairwise-K16-B64,Sequential-Baseline,64,,164,121.95694024813126,119.25451835091859,124.67076190197895,248.29304722434804,nan,nan,nan,164,0,0
HumanEval,False,within_family_vs_sequential,DFlash2-Unary-K16-B32,Sequential-Baseline,32,,164,103.06008092949587,100.25766088923567,105.8855047007487,209.86364685064004,nan,nan,nan,164,0,0
HumanEval,False,within_family_vs_sequential,DFlash2-Unary-K16-B64,Sequential-Baseline,64,,164,108.06630544924306,105.33583169264983,110.82913443242734,219.9885110861,nan,nan,nan,164,0,0
MATH500,True,controlled,DFlash2-Pairwise-K16-B16,DFlash2-Original-DDTree-B16,16,16,128,15.632208114106845,13.881665838636641,17.420015680256654,9.59878575054175,nan,nan,nan,120,0,8
MATH500,False,controlled,DFlash2-Pairwise-K16-B7,DFlash2-Original-DDTree-B7,7,7,128,8.878933937502179,7.3812436436128435,10.435861607011779,5.937922368583791,nan,nan,nan,110,0,18
MATH500,False,controlled,DFlash2-Pairwise-K16-B32,DFlash2-Original-DDTree-B32,32,32,128,19.30002012003112,17.54213126342508,21.08778677695457,11.396253151115756,nan,nan,nan,125,0,3
MATH500,False,controlled,DFlash2-Pairwise-K16-B64,DFlash2-Original-DDTree-B64,64,64,128,28.28375521358719,26.48208988477581,30.06115756152109,17.327562398296802,nan,nan,nan,128,0,0
MATH500,False,controlled,DFlash2-Pairwise-K16-B7,Raw-DFlash2,7,,128,2.7530233662092836,1.2318831763316254,4.29700161243478,2.183452217634495,nan,nan,nan,81,0,47
MATH500,False,controlled,DFlash2-Pairwise-K16-B32,DFlash2-Unary-K16-B32,32,32,128,17.733249511628912,16.032811642108275,19.465746342485648,10.435631564178928,nan,nan,nan,126,0,2
MATH500,False,controlled,DFlash2-Pairwise-K16-B64,DFlash2-Unary-K16-B64,64,64,128,18.512726475159962,16.877490209554097,20.136211786828383,10.674040826819732,nan,nan,nan,124,0,4
MATH500,False,cross_drafter,DFlash2-Pairwise-K16-B16,Raw-DFlash,16,,128,-84.06070971418913,-93.97771724457884,-74.37678313805345,-28.063167925416074,-1.409695354875507,-1.594587873231575,-1.2325934982546671,2,0,126
MATH500,False,cross_drafter,DFlash2-Pairwise-K16-B16,DFlash-Original-DDTree-B16,16,16,128,-101.1710738303183,-109.82515004427246,-92.79357672454803,-33.497269613041496,-1.731380699936887,-1.8847289046510172,-1.5808006825707128,1,0,127
MATH500,False,cross_drafter,DFlash2-Pairwise-K16-B32,Raw-DFlash,32,,128,-76.34663712517721,-86.53245513517162,-66.40284500533156,-24.982662355661468,-1.2581288889895237,-1.444657242804972,-1.078509361506445,6,0,122
MATH500,False,cross_drafter,DFlash2-Pairwise-K16-B32,DFlash-Original-DDTree-B32,32,32,128,-115.54969005717889,-123.90423061732045,-107.21722122048774,-35.998766137379874,-1.9938613203402094,-2.1521539151970495,-1.8421014392935482,0,0,128
MATH500,False,cross_drafter,DFlash2-Pairwise-K16-B64,Raw-DFlash,64,,128,-72.08912712448789,-82.22955587451689,-61.99880239981127,-23.10968686704677,-1.1752705644215475,-1.3635182295165842,-0.9908516142641438,12,0,116
MATH500,False,cross_drafter,DFlash2-Pairwise-K16-B64,DFlash-Original-DDTree-B64,64,64,128,-130.3707656484506,-140.11246357876985,-120.83258268330617,-38.229933146066905,-2.268187316721864,-2.4419834541592675,-2.0990518320884144,0,0,128
MATH500,False,within_family_vs_sequential,Raw-DFlash,Sequential-Baseline,,,128,214.9043421025899,202.5261281036558,227.62166260907765,402.1792531533912,nan,nan,nan,128,0,0
MATH500,False,within_family_vs_sequential,DFlash-Original-DDTree-B16,Sequential-Baseline,16,,128,232.01470621871908,221.08658314022526,243.33639204311456,434.34778765952933,nan,nan,nan,128,0,0
MATH500,False,within_family_vs_sequential,DFlash-Original-DDTree-B32,Sequential-Baseline,32,,128,254.10739503459158,243.30049823384405,265.3515729749399,475.75249628845984,nan,nan,nan,128,0,0
MATH500,False,within_family_vs_sequential,DFlash-Original-DDTree-B64,Sequential-Baseline,64,,128,273.18598062655263,261.4493151432227,285.0084538886836,511.4709283834229,nan,nan,nan,128,0,0
MATH500,False,controlled,DFlash-Original-DDTree-B16,Raw-DFlash,16,,128,17.110364116129187,12.940583543211918,21.131827723723838,7.884409745629814,nan,nan,nan,106,0,22
MATH500,False,controlled,DFlash-Original-DDTree-B32,Raw-DFlash,32,,128,39.2030529320017,34.226501930404794,44.19604042733692,16.857372283272472,nan,nan,nan,114,0,14
MATH500,False,controlled,DFlash-Original-DDTree-B64,Raw-DFlash,64,,128,58.28163852396273,53.90985073134943,62.55924427080652,23.969480577555004,nan,nan,nan,125,0,3
MATH500,False,within_family_vs_sequential,Raw-DFlash2,Sequential-Baseline,,,128,111.2612710788289,106.84360650589458,115.85197113740014,218.11468475187496,nan,nan,nan,128,0,0
MATH500,False,within_family_vs_sequential,DFlash2-Original-DDTree-B7,Sequential-Baseline,7,,128,105.135360507536,101.31467250013857,109.028076540014,206.11918078507307,nan,nan,nan,128,0,0
MATH500,False,within_family_vs_sequential,DFlash2-Original-DDTree-B16,Sequential-Baseline,16,,128,117.59921204781665,113.91094296552531,121.24028186437107,230.56652614947177,nan,nan,nan,128,0,0
MATH500,False,within_family_vs_sequential,DFlash2-Original-DDTree-B32,Sequential-Baseline,32,,128,121.64547263090427,118.14867645370525,125.0565680560492,238.55713738473628,nan,nan,nan,128,0,0
MATH500,False,within_family_vs_sequential,DFlash2-Original-DDTree-B64,Sequential-Baseline,64,,128,116.91924753803754,113.48587606625723,120.34690520899619,229.26746964573272,nan,nan,nan,128,0,0
