scope,method,budget,depth,N,covered,candidate_failures,ranking_budget_failures,candidate_failure_rate,ranking_budget_failure_rate
realized,Pairwise-MassPreserving,128,3,1902,1697,142,63,0.07465825446898001,0.033123028391167195
realized,Pairwise-MassPreserving,128,4,1898,1531,251,116,0.1322444678609062,0.06111696522655427
realized,Pairwise-MassPreserving,128,5,1895,1393,357,145,0.18839050131926122,0.07651715039577836
realized,Pairwise-MassPreserving,128,6,1895,1224,483,188,0.25488126649076515,0.09920844327176781
realized,Pairwise-MassPreserving,128,7,1887,1067,601,219,0.3184949655537891,0.11605723370429252
realized,Pairwise-MassPreserving,256,1,1913,1907,4,2,0.0020909566126502874,0.0010454783063251437
realized,Pairwise-MassPreserving,256,2,1909,1849,47,13,0.02462022001047669,0.006809848088004191
realized,Pairwise-MassPreserving,256,3,1902,1724,142,36,0.07465825446898001,0.01892744479495268
realized,Pairwise-MassPreserving,256,4,1898,1579,251,68,0.1322444678609062,0.03582718651211802
realized,Pairwise-MassPreserving,256,5,1895,1428,357,110,0.18839050131926122,0.05804749340369393
realized,Pairwise-MassPreserving,256,6,1895,1277,483,135,0.25488126649076515,0.0712401055408971
realized,Pairwise-MassPreserving,256,7,1887,1111,601,175,0.3184949655537891,0.09273979862215156
realized,Pairwise-after-root,1,1,1913,1695,4,214,0.0020909566126502874,0.11186617877679038
realized,Pairwise-after-root,1,2,1909,0,47,1862,0.02462022001047669,0.9753797799895233
realized,Pairwise-after-root,1,3,1902,0,142,1760,0.07465825446898001,0.92534174553102
realized,Pairwise-after-root,1,4,1898,0,251,1647,0.1322444678609062,0.8677555321390937
realized,Pairwise-after-root,1,5,1895,0,357,1538,0.18839050131926122,0.8116094986807388
realized,Pairwise-after-root,1,6,1895,0,483,1412,0.25488126649076515,0.7451187335092349
realized,Pairwise-after-root,1,7,1887,0,601,1286,0.3184949655537891,0.6815050344462109
realized,Pairwise-after-root,2,1,1913,1724,4,185,0.0020909566126502874,0.0967067433350758
realized,Pairwise-after-root,2,2,1909,1438,47,424,0.02462022001047669,0.22210581456259823
realized,Pairwise-after-root,2,3,1902,0,142,1760,0.07465825446898001,0.92534174553102
realized,Pairwise-after-root,2,4,1898,0,251,1647,0.1322444678609062,0.8677555321390937
realized,Pairwise-after-root,2,5,1895,0,357,1538,0.18839050131926122,0.8116094986807388
realized,Pairwise-after-root,2,6,1895,0,483,1412,0.25488126649076515,0.7451187335092349
realized,Pairwise-after-root,2,7,1887,0,601,1286,0.3184949655537891,0.6815050344462109
realized,Pairwise-after-root,4,1,1913,1763,4,146,0.0020909566126502874,0.07631991636173549
realized,Pairwise-after-root,4,2,1909,1530,47,332,0.02462022001047669,0.17391304347826086
realized,Pairwise-after-root,4,3,1902,1225,142,535,0.07465825446898001,0.2812828601472135
realized,Pairwise-after-root,4,4,1898,970,251,677,0.1322444678609062,0.3566912539515279
realized,Pairwise-after-root,4,5,1895,0,357,1538,0.18839050131926122,0.8116094986807388
realized,Pairwise-after-root,4,6,1895,0,483,1412,0.25488126649076515,0.7451187335092349
realized,Pairwise-after-root,4,7,1887,0,601,1286,0.3184949655537891,0.6815050344462109
realized,Pairwise-after-root,7,1,1913,1813,4,96,0.0020909566126502874,0.0501829587036069
realized,Pairwise-after-root,7,2,1909,1615,47,247,0.02462022001047669,0.1293871136720796
realized,Pairwise-after-root,7,3,1902,1359,142,401,0.07465825446898001,0.21083070452155625
realized,Pairwise-after-root,7,4,1898,1115,251,532,0.1322444678609062,0.2802950474183351
realized,Pairwise-after-root,7,5,1895,860,357,678,0.18839050131926122,0.35778364116094985
realized,Pairwise-after-root,7,6,1895,654,483,758,0.25488126649076515,0.4
realized,Pairwise-after-root,7,7,1887,483,601,803,0.3184949655537891,0.4255431902490726
realized,Pairwise-after-root,8,1,1913,1825,4,84,0.0020909566126502874,0.04391008886565604
realized,Pairwise-after-root,8,2,1909,1639,47,223,0.02462022001047669,0.11681508643268727
realized,Pairwise-after-root,8,3,1902,1401,142,359,0.07465825446898001,0.18874868559411145
